,Agency Name,Department,Address,Phone Number,Number of Officers,Population Served,Agency Type
7940,NJ,Phillipsburg Police Department,"675 Corliss Avenue  Phillipsburg, NJ 8865",908-454-1121,37.0,"15,166",Local Police
7942,NJ,Pine Hill Borough Police Department,"48 West 6Th Avenue  Pine Hill, NJ 8021",856-783-1549,22.0,"10,880",Local Police
7943,NJ,Pine Valley Police Department,"1 Club Road  Pine Valley, NJ 8021",856-784-5223,4.0,20,Local Police
7944,NJ,Piscataway Township Police Department,"555 Sidney Road  Piscataway, NJ 8854",732-562-2318,90.0,"50,482",Local Police
7946,NJ,Plainfield Police Department Department,"200 East 4th Street  Plainfield, NJ 7060",908-753-3032,151.0,"47,829",Local Police
7948,NJ,Pleasantville Police Department,"17 North First Street  Pleasantville, NJ 8232",609-641-6100,56.0,"19,012",Local Police
7949,NJ,Plumsted Township Police Department,"2 Cedar Street  New Egypt, NJ 8533",609-758-3738,12.0,"7,275",Local Police
7950,NJ,Pohatcong Township Police Department,"50 Municipal Drive  Philipsburg, NJ 8865",908-454-9836,14.0,"3,416",Local Police
7952,NJ,Point Pleasant Borough Police Department,"2233 Bridge Avenue  Point Pleasant, NJ 8742",732-892-0060,34.0,"19,306",Local Police
7953,NJ,Pompton Lakes Police Department,"25 Lenox Avenue  Pompton Lakes, NJ 7442",973-835-0400,19.0,"10,640",Local Police
7956,NJ,Princeton Township Police Department,"1 Valley Road  Princeton, NJ 8540",609-921-2100,31.0,"16,027",Local Police
7957,NJ,Prospect Park Police Department,"106 Brown Avenue  Prospect Park, NJ 7508",973-790-7900,15.0,"5,779",Local Police
7958,NJ,Rahway Police Department,"One City Hall Plaza  Rahway, NJ 7065",732-827-2105,78.0,"26,500",Local Police
7959,NJ,Ramsey Police Department,"25 North Central Avenue  Ramsey, NJ 7446",201-327-2400,31.0,"14,351",Local Police
7960,NJ,Randolph Township Police Department,"502 Millbrook Avenue  Randolph, NJ 7869",973-989-7014,40.0,"24,847",Local Police
7961,NJ,Raritan Borough Police Department,"20 First Street  Raritan, NJ 8869",908-725-6700,19.0,"6,338",Local Police
7962,NJ,Raritan Township Police Department,"2 Municipal Drive  Flemington, NJ 8822",908-782-8889,34.0,"19,809",Local Police
7963,NJ,Readington Township Police Department,"507 Route 523  Whitehouse Station, NJ 8889",908-534-4031,25.0,"15,803",Local Police
7964,NJ,Red Bank Police Department,"90 Monmouth Street  Red Bank, NJ 7701",732-530-2710,42.0,"11,844",Local Police
7967,NJ,Ridgefield Police Department,"604 Broad Avenue  Ridgefield, NJ 7657",201-943-5210,28.0,"10,830",Local Police
7968,NJ,Ridgewood Police Department,"131 N Maple Ave  Ridgewood, NJ 7450",201-670-5519,40.0,"24,936",Local Police
7969,NJ,Ringwood Police Department,"60 Margaret King Avenue  Ringwood, NJ 7456",973-962-7017,22.0,"12,396",Local Police
7970,NJ,River Edge Police Department,"705 Kinderkamack Road  River Edge, NJ 7661",201-599-6314,21.0,"10,946",Local Police
7972,NJ,Riverdale Police Department,"P.O. Box 6  Riverdale, NJ 7457",973-835-0034,18.0,"2,498",Local Police
7973,NJ,Riverside Township Police Department,"1 West Scott Street  Riverside, NJ 8075",856-461-8018,16.0,"7,911",Local Police
7977,NJ,Rockaway Borough Police Department,"33 Maple Avenue  Rockaway, NJ 7866",973-627-1314,15.0,"6,473",Local Police
7978,NJ,Rockaway Township Police Department,"65 Mount Hope Road  Rockaway, NJ 7866",973-983-2913,57.0,"22,930",Local Police
7979,NJ,Roseland Borough Police Department,"15 Harrison Avenue  Roseland, NJ 7068",973-226-8700,28.0,"5,298",Local Police
7981,NJ,Roselle Park Police Department,"110 East Westfield Avenue  Roselle Park, NJ 7204",908-245-2300,34.0,"21,274",Local Police
7983,NJ,Roxbury Township Police Department,"1715 State Highway 46  Ledgewood, NJ 7852",973-448-2036,48.0,"23,883",Local Police
7985,NJ,Runnemede Police Department,"24 North Black Horse PikeP.O. Box 143 Runnemede, NJ 8078",856-939-0330,20.0,"8,533",Local Police
7989,NJ,Rutherford Police Department,"184 Park Avenue  Rutherford, NJ 7070",201-939-6000,40.0,"18,110",Local Police
7990,NJ,Saddle Brook Police Department,"63 Market Street  Saddle Brook, NJ 7663",201-843-7000,31.0,"13,155",Local Police
7991,NJ,Saddle River Police Department,"83 East Allendale Road  Saddle River, NJ 7458",201-327-5300,18.0,"3,201",Local Police
7993,NJ,Salem County Sheriff's Office,"94 Market St  Salem, NJ 8079",856-935-7510,157.0,"64,285",Sheriff
7995,NJ,Sayreville Police Department,"1000 Main Street  Sayreville, NJ 8872",732-525-5409,93.0,"40,377",Local Police
7996,NJ,Scotch Plains Police Department,"430 Park Avenue  Scotch Plains, NJ 7076",908-322-7100,46.0,"22,732",Local Police
7997,NJ,Sea Bright Police Department,"1099 East Ocean Avenue  Sea Bright, NJ 7760",732-842-0010,11.0,"1,818",Local Police
7998,NJ,Sea Girt Police Department,"319 Baltimore Boulevard  Sea Girt, NJ 8750",732-449-7300,11.0,"2,148",Local Police
8000,NJ,Seaside Heights Police Department,"116 Sherman Avenue  Seaside Heights, NJ 8751",732-793-1800,23.0,"3,155",Local Police
8002,NJ,Secaucus Police Department,"1203 Paterson Plank Road  Secaucus, NJ 7094",201-330-2060,58.0,"15,931",Local Police
8003,NJ,Ship Bottom Borough Police Department,"1621 Long Beach Boulevard  Ship Bottom, NJ 8008",607-494-1518,11.0,"1,384",Local Police
8004,NJ,Shrewsbury Police Department,"419 Sycamore AvenueP.O. Box 221 Shrewsbury, NJ 7702",732-741-2500,16.0,"3,590",Local Police
8005,NJ,Somerdale Borough Police Department,"105 Kennedy Boulevard  Somedale, NJ 8083",856-428-6324,16.0,"5,192",Local Police
8006,NJ,Somers Point Police Department,"1 West New Jersey Avenue  Somers Point, NJ 8244",609-927-6161,24.0,"11,614",Local Police
8008,NJ,Somerset County Sheriff's Office,"20 Grove StPO Box 3000 Somerville, NJ 8876",908-231-7140,65.0,"297,490",Sheriff
8009,NJ,Somerville Police Department,"24 South Bridge Street  Somerville, NJ 8876",908-725-0331,32.0,"12,423",Local Police
8010,NJ,South Amboy Police Department,"140 North Broadway  S. Amboy, NJ 8879",732-525-5945,30.0,"7,913",Local Police
8011,NJ,South Bound Brook Police Department,"12 Main Street  South Bound Brook, NJ 8880",732-356-0087,12.0,"4,492",Local Police
8016,NJ,South Plainfield Police Department,"2480 Plainfield Avenue  South Plainfield, NJ 7080",908-226-7677,56.0,"21,810",Local Police
8017,NJ,South River Police Department,"61 Main Street  South River, NJ 8882",732-238-1000,30.0,"15,322",Local Police
8018,NJ,South Toms River Police Department,"144 Mill Street  South Toms River, NJ 8757",732-349-0313,12.0,"3,634",Local Police
8019,NJ,Sparta Township Police Department,"65 Main Street  Sparta, NJ 7871",973-729-6121,39.0,"18,080",Local Police
8020,NJ,Spotswood Police Department,"77 Summerhill Road  Spotswood, NJ 8884",732-251-2121,19.0,"7,880",Local Police
8022,NJ,Spring Lake Police Department,"311 Washington Avenue  Spring Lake, NJ 7762",732-449-1234,14.0,"3,567",Local Police
8023,NJ,Springfield Township Police Department,"2159 Jacksonville-Jobstown RoadP.O. Box 119 Jobstown, NJ 8041",973-376-0400,8.0,"14,429",Local Police
8024,NJ,Stafford Township Police Department,"260 East Bay Avenue  Manahawkin, NJ 8050",609-597-1189,57.0,"22,532",Local Police
8025,NJ,Stanhope Police Department,"77 Main Street  Stanhope, NJ 7874",973-347-4533,9.0,"3,584",Local Police
8026,NJ,Stillwater Township Police Department,"964 Stillwater Road  Newton, NJ 7860",973-383-3773,5.0,"4,267",Local Police
8029,NJ,Summit Police Department,"512 Springfield Avenue  Summit, NJ 7901",908-277-2866,48.0,"21,131",Local Police
8032,NJ,Sussex County Sheriff's Office,"39 High St  Newton, NJ 7860",973-579-0850,122.0,"144,166",Sheriff
8034,NJ,Teaneck Police Department,"900 Teaneck Road  Teaneck, NJ 7666",201-837-2600,98.0,"39,260",Local Police
8035,NJ,Tenafly Police Department,"100 Riveredge Road  Tenafly, NJ 7670",201-568-5100,37.0,"13,806",Local Police
8036,NJ,Tewksbury Township Police Department,"167 County Rd. 517  Califon, NJ 7830",908-439-3477,12.0,"5,541",Local Police
8037,NJ,Tinton Falls Police Department,"556 Tinton Avenue  Tinton Falls, NJ 7724",732-542-3400,41.0,"15,053",Local Police
8039,NJ,Totowa Police Department,"537 Totowa Road  Totowa, NJ 7512",973-790-3700,28.0,"9,892",Local Police
8040,NJ,Trenton Police Department,"225 North Clinton Avenue  Trenton, NJ 8609",609-989-4073,361.0,"85,403",Local Police
8041,NJ,Tuckerton Borough Police Department,"445 South Green Street  Tuckerton, NJ 8087",609-296-9417,10.0,"3,517",Local Police
8042,NJ,Union Beach Police Department,"650 Poole Avenue  Union Beach, NJ 7735",732-264-0313,14.0,"6,649",Local Police
8043,NJ,Union City Police Department,"3715 Palisade Avenue  Union City, NJ 7087",201-348-5780,165.0,"67,088",Local Police
8046,NJ,Union County Sheriff's Office,"Elizabethtown Plaza1st Floor Admin Bldg Elizabeth, NJ 7207",908-527-4450,176.0,"522,541",Sheriff
8047,NJ,Union Township Police Department,"981 Caldwell Avenue  Union, NJ 7083",908-851-5058,135.0,"54,405",Local Police
8049,NJ,Upper Saddle River Police Department,"368 West Saddle River Road  Upper Saddle River, NJ 7458",201-327-2700,18.0,"7,741",Local Police
8051,NJ,Vernon Township Police Department,"21 Church Street  Vernon, NJ 7462",973-764-6155,32.0,"24,686",Local Police
8053,NJ,Vineland Police Department,"111 North 6Th Street  Vineland, NJ 8360",856-691-4111,157.0,"56,271",Local Police
8054,NJ,Voorhees Township Police Department,"1180 White Horse Road  Voorhees, NJ 8043",856-428-5400,52.0,"28,126",Local Police
8055,NJ,Waldwick Police Department,"15 East Prospect Street  Waldwick, NJ 7463",201-652-5700,17.0,"9,622",Local Police
8056,NJ,Wall Township Police Department,"200 Allaire Road  Wall Township, NJ 7719",732-449-4500,71.0,"25,261",Local Police
8057,NJ,Wallington Police Department,"56 Union Boulevard  Wallington, NJ 7057",973-473-5782,21.0,"11,583",Local Police
8058,NJ,Wanaque Police Department,"579 Ringwood Avenue  Wanaque, NJ 7465",973-836-5600,23.0,"10,266",Local Police
8061,NJ,Warren Township Police Department,"44 Mountain Blvd.  Warren, NJ 7059",908-753-1141,30.0,"14,259",Local Police
8063,NJ,Washington Township Police Department,"1 East Springtown Road  Long Valley, NJ 7853",908-876-3232,31.0,"17,592",Local Police
8064,NJ,Washington Township Police Department,"211 Route 31 North  Washington, NJ 7882",201-664-1140,13.0,"8,938",Local Police
8065,NJ,Washington Township Police Department,"350 Hudson Avenue  Washington, NJ 7676",201-664-1140,22.0,"8,938",Local Police
8066,NJ,Washington Township Police Department,"Police Administration Building1 McClure Drive Sewell, NJ 8080",856-256-1212,86.0,"47,114",Local Police
8067,NJ,Watchung Police Department,"840 Somerset Street  Watchung, NJ 7069",908-756-3663,29.0,"5,613",Local Police
8068,NJ,Waterford Township Police Department,"2131 Auburn Avenue  Atco, NJ 8004",856-767-2134,24.0,"10,494",Local Police
8069,NJ,Wayne Township Police Department,"475 Valley Road  Wayne, NJ 7470",973-633-3588,117.0,"54,069",Local Police
8070,NJ,Weehawken Police Department,"400 Park Avenue  Weehawken, NJ 7087",201-863-7800,58.0,"13,501",Local Police
8071,NJ,Wenonah Police Department,"1 South West Avenue  Wenonah, NJ 8090",856-468-6263,7.0,"2,317",Local Police
8072,NJ,West Amwell Township Police Department,"24 Mount Airy Village Road  Lambertville, NJ 8530",609-397-1100,6.0,"2,383",Local Police
8075,NJ,West Long Branch Police Department,"95 Poplar Avenue  West Long Branch, NJ 7748",732-229-5000,21.0,"8,258",Local Police
8077,NJ,West New York Police Department,"428-60Th Street  West New York, NJ 7093",201-295-5030,119.0,"45,768",Local Police
8080,NJ,West Wildwood Police Department,"701 West Glenwood AvenueP.O. Box 644 West Wildwood, NJ 8260",609-522-4060,6.0,448,Local Police
8081,NJ,West Windsor Township Police Department,"20 Municipal DriveP.O. Box 38 Princeton Junction, NJ 8550",609-799-1222,47.0,"21,907",Local Police
8082,NJ,Westampton Township Police Department,"710 Rancocas Road  Westampton, NJ 8060",609-267-3000,22.0,"7,217",Local Police
8083,NJ,Westfield Police Department,"425 East Broad Street  Westfield, NJ 7090",908-789-4000,60.0,"29,644",Local Police
8084,NJ,Westville Police Department,"114 Crown Point Road  Westville, NJ 8093",856-456-9444,15.0,"4,500",Local Police
8086,NJ,Wharton Police Department,"10 Roberts Street  Wharton, NJ 7885",973-366-5893,21.0,"6,298",Local Police
8087,NJ,Wildwood Crest Police Department,"6101 Pacific Avenue  Wildwood Crest, NJ 8260",609-522-2456,21.0,"3,980",Local Police
8088,NJ,Wildwood Police Department,"4400 New Jersey Avenue  Wildwood, NJ 8260",609-522-0222,38.0,"5,436",Local Police
8091,NJ,Winfield Police Department,"12 Gulfstream Avenue  Winfield, NJ 7036",908-925-3852,9.0,"1,514",Local Police
8092,NJ,Winslow Township Police Department,"125 South Route 73  Braddock, NJ 8037",609-561-3300,86.0,"34,611",Local Police
8094,NJ,Woodbridge Police Department,"1 Main Street  Woodbridge, NJ 7095",732-602-7371,206.0,"97,203",Local Police
8098,NJ,Woodstown Police Department,"25 West Avenue  Woodstown, NJ 8098",856-769-1330,9.0,"3,136",Local Police
8099,NJ,Woolwich Township Police Department,"120 Woodstown Road  Swedesboro, NJ 8085",856-467-1667,18.0,"3,032",Local Police
8101,NV,Boulder City Police Department,"1005 Arizona St  Boulder City, NV 89005",702-293-9224,34.0,"14,966",Local Police
8103,NV,Carlin Police Department,"P.O. Box 969  Carlin, NV 89822",775-754-2221,5.0,"2,161",Local Police
8104,NV,Carson City Sheriff's Office,"911 East Musser Street  Carson City, NV 89701",775-887-2020,96.0,"52,457",Sheriff
8105,NV,Churchill County Sheriff's Office,"73 N Maine St  Fallon, NV 89406",775-423-3116,40.0,"23,982",Sheriff
8109,NV,Douglas County Sheriff's Office,"P.O. Box 2181625 8th St Minden, NV 89423",775-782-9900,100.0,"41,259",Sheriff
8113,NV,Elko County Sheriff's Office,"775 W Silver St  Elko, NV 89801",775-738-3421,57.0,"45,291",Sheriff
8114,NV,Elko Police Department,"1401 College Avenue  Elko, NV 89801",775-777-7310,37.0,"16,708",Local Police
8116,NV,Esmeralda County Sheriff's Office,"P.O. Box 520County Courthouse Goldfield, NV 89013",775-485-6373,10.0,971,Sheriff
8117,NV,Eureka County Sheriff's Office,"P.O. Box 736411 N Main St Eureka, NV 89316",775-237-5330,8.0,"1,651",Sheriff
8119,NV,Fallon Police Department,"55 W. Williams Avenue  Fallon, NV 89406",775-423-0167,23.0,"7,536",Local Police
8121,NV,Henderson Police Department,"223 Lead StreetPO Box 95050 Henderson, NV 89009",702-565-8933,336.0,"175,381",Local Police
8122,NV,Henderson Township Constable,"243 Water Street  Henderson, NV 89015",702-455-7940,3.0,"175,381",Local Police
8124,NV,Humboldt County Sheriff's Office,"50 W 5Th St  Winnemucca, NV 89445",775-623-6419,37.0,"16,106",Sheriff
8126,NV,Lander County Sheriff's Office,"P.O. Box 1625  Battle Mountain, NV 89820",775-635-5161,10.0,"5,794",Sheriff
8127,NV,Las Vegas Metro Police Department,"3141 Sunrise Ave  Las Vegas, NV 89101",702-229-3282,2942.0,"1,375,765",Local Police
8128,NV,Las Vegas Paiute Tribal Police Department,"6 Paiute Drive  Las Vegas, NV 89106",702-471-0844,8.0,108,Tribal
8131,NV,Lincoln County Sheriff's Office,"P.O. Box 570  Pioche, NV 89043",775-962-5151,27.0,"4,165",Sheriff
8132,NV,Lovelock Paiute Tribal Police Department,"201 Bowean Street  Lovelock, NV 89419",886-273-7861,2.0,103,Tribal
8133,NV,Lovelock Police Department,"P.O. Box 1100  Lovelock, NV 89419",775-273-2256,6.0,"2,003",Local Police
8134,NV,Lyon County Sheriff's Office,"30 Nevin Way  Yerington, NV 89447",775-463-6600,74.0,"34,501",Sheriff
8137,NV,Mineral County Sheriff's Office,"P.O. Box 2290105 S A St Hawthorne, NV 89415",775-945-2434,19.0,"5,071",Sheriff
8149,NV,Nevada Highway Patrol,"555 Wright Way  Carson City, NV 89711",775-687-5300,417.0,"1,998,257",State
8154,NV,North Las Vegas Police Department,"1301 E. Lake Mead Blvd.  North Las Vegas, NV 89030",702-633-1739,471.0,"115,488",Local Police
8155,NV,Nye County Sheriff's Office,"Ste. 1021520 E. Basin Rd. Pahrump, NV 89060",775-751-7000,108.0,"32,485",Sheriff
8156,NV,Pershing County Sheriff's Office,"P.O. Box 147395 9th St Lovelock, NV 89419",775-273-2641,12.0,"6,693",Sheriff
8158,NV,Reno Police Department,"P.O. Box 1900  Reno, NV 89505",775-334-2540,362.0,"180,480",Local Police
8161,NV,Sparks Police Department,"1701 E. Prater Way  Sparks, NV 89434",775-353-2279,112.0,"66,346",Local Police
8162,NV,Storey County Sheriff's Office,"911 State Route 341PO Box 498 Virginia City, NV 89440",775-847-0959,26.0,"3,399",Sheriff
8166,NV,Walker River Tribal Police Department,"P.O. Box 270  Schurz, NV 89427",775-773-2544,3.0,853,Tribal
8168,NV,Washoe County Sheriff's Office,"911 E Parr Blvd  Reno, NV 89512",775-328-3010,414.0,"339,486",Sheriff
8172,NV,White Pine County Sheriff's Office,"1785 GREAT BASIN BLVD.  Ely, NV 89301",775-289-8808,23.0,"9,181",Sheriff
8173,NV,Winnemucca Police Department,"25 West Fifth StreetP.O. Box 382 Winnemucca, NV 89446",775-623-6396,18.0,"7,174",Local Police
8175,NV,Yerington Police Department,"30 Nevin Way  Yerington, NV 89447",775-463-2333,5.0,"2,883",Local Police
8177,MA,Abington Police Department,"P.O. Box 2113215 Central St Abington, MA 2351",781-878-3232,27.0,"14,605",Local Police
8178,MA,Acton Police Department,"P.O. Box 2212371 Main St Acton, MA 1720",978-264-9638,33.0,"20,331",Local Police
8179,MA,Acushnet Police Department,"130 Main St  Acushnet, MA 2743",508-998-0240,17.0,"10,161",Local Police
8180,MA,Adams Police Department,"4 School Street  Adams, MA 1220",413-743-1212,16.0,"8,809",Local Police
8181,MA,Agawam Police Department,"681 Springfield St  Feeding Hills, MA 1030",413-786-4767,49.0,"28,144",Local Police
8182,MA,Amesbury Police Department,"19 School St  Amesbury, MA 1913",978-388-1217,32.0,"16,450",Local Police
8183,MA,Amherst Police Department,"111 Main St  Amherst, MA 1002",413-256-4011,48.0,"34,874",Local Police
8184,MA,Andover Police Department,"32 North Main Street  Andover, MA 1810",978-475-0411,53.0,"31,247",Local Police
8185,MA,Aquinnah Police Department,"67 State Road  Aquinnah, MA 2535",508-645-2313,4.0,344,Local Police
8186,MA,Arlington Police Department,"112 Mystic Street  Arlington, MA 2474",781-316-3901,64.0,"42,389",Local Police
8187,MA,Ashburnham Police Department,"99 Central Street  Ashburnham, MA 1430",978-827-5714,9.0,"5,546",Local Police
8188,MA,Ashby Police Department,"P.O. Box 280893 Main St Ashby, MA 1431",978-386-5652,6.0,"2,845",Local Police
8189,MA,Ashfield Police Department,"412 Main Street  Ashfield, MA 1330",413-628-4445,0.0,"1,800",Local Police
8190,MA,Ashland Police Department,"137 Main St  Ashland, MA 1721",508-881-1212,28.0,"14,674",Local Police
8191,MA,Athol Police Department,"280 Exchange Street  Athol, MA 1331",978-249-3232,17.0,"11,299",Local Police
